accession	collected_by	collection_date	country	identified_by	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
GU571473		03-Jun-2003	Norway: Telemark, Kragero		58.867 N 9.60 E	Luscinia luscinia	NHMO-BC40	729	2
GU571471	Bjorn-Aksel Bjerke	18-Oct-1998	Norway: Ostfold, Sameia		59.52 N 11.32 E	Loxia pytyopsittacus	NHMO-BC431	666	2
GU571470	Arne Maehlen	26-Mar-2006	Norway: Hedmark, Risberget		60.68 N 11.85 E	Loxia pytyopsittacus	NHMO-BC387	711	2
GU571468	Roar Solheim	01-Jan-1993	Norway: Vest-Agder, Tommersto		58.12 N 8.08 E	Loxia leucoptera	NHMO-BC131	749	2
GU571466	Oystein B. Nielsen	27-Oct-2004	Norway: Rogaland, Utsira		59.32 N 4.88 E	Loxia curvirostra	NHMO-BC213	740	2
GU571461	Truls W. Andersen	01-Oct-2005	Norway: Rogaland, Utsira		59.32 N 4.88 E	Locustella naevia	NHMO-BC367	718	2
GU571460	Jostein Austevik	24-Apr-2004	Norway: Rogaland, Utsira		59.317 N 4.883 E	Locustella naevia	NHMO-BC49	750	2
GU571459	Truls W. Andersen	30-Sep-2004	Norway: Rogaland, Utsira		59.32 N 4.88 E	Locustella certhiola	NHMO-BC451	716	2
GU571458	Truls W. Andersen	30-Sep-2003	Norway: Rogaland, Utsira		59.32 N 4.88 E	Locustella certhiola	NHMO-BC450	727	2
GU571457	Pasvik exp.	01-Jan-1966	Norway: Finnmark, Ovre Pasvik		69.33 N 29.32 E	Limosa lapponica	NHMO-BC437	750	2
GU571456	Trond Oigarden	04-Jul-2006	Norway: Hedmark, Storkjolen		61.35 N 11.52 E	Limicola falcinellus	NHMO-BC321	718	2
GU571455	Gunnhild Marthinsen	26-Jun-2006	Norway: Oslo, Mokkalassene, Snaroya		59.87 N 10.62 E	Chroicocephalus ridibundus	NHMO-BC341	722	2
GU571454	Gunnhild Marthinsen	26-Jun-2006	Norway: Oslo, Mokkalassene, Snaroya		59.87 N 10.62 E	Chroicocephalus ridibundus	NHMO-BC342	715	2
GU571453	Bjorn-Aksel Bjerke	17-Mar-2006	Norway: Ostfold, Spjaeroy		59.10 N 10.93 E	Larus marinus	NHMO-BC401	740	2
GU571452	Pasvik expedition	01-Jan-1966	Norway: Finnmark, Porsanger		69.33 N 29.32 E	Larus marinus	NHMO-BC29	707	2
GU571451	Kjetil Sagerup	04-Oct-2005	Norway: Svalbard, Longyearbyen		78.21 N 15.55 E	Larus hyperboreus	NHMO-BC168	751	2
GU571450	Kjetil Sagerup	04-Oct-2005	Norway: Svalbard, Longyearbyen		78.21 N 15.55 E	Larus hyperboreus	NHMO-BC167	679	2
GU571449	Gunnhild Marthinsen	22-Jun-2006	Norway: Oslo, Husbergoya		59.85 N 10.70 E	Larus fuscus	NHMO-BC338	721	2
GU571448	Gunnhild Marthinsen	25-Jun-2006	Norway: Oslo, Sunbyholmen		59.72 N 10.53 E	Larus fuscus	NHMO-BC339	744	2
GU571447	Lufthavnvakta	21-Jun-2006	Norway: Troms, Langnes Flyplass		69.68 N 18.92 E	Larus canus	NHMO-BC375	721	2
GU571446	Gunnhild Marthinsen	22-Jun-2006	Norway: Oslo, Husbergoya		59.85 N 10.70 E	Larus canus	NHMO-BC340	698	2
GU571445	Lars Erik Johannessen	04-Jun-2006	Norway: Finnmark, Hornoya		70.38 N 31.15 E	Larus argentatus	NHMO-BC332	721	2
GU571444	Jan Erik Roer	22-Oct-2003	Norway: Vest-Agder, Oyestranda		58.28 N 6.90 E	Lanius excubitor	NHMO-BC277	751	2
GU571443	Nils Helge Lorentzen	23-Nov-2003	Norway: Vest-Agder, Lista Fyr, Farsund		58.10 N 6.57 E	Lanius excubitor	NHMO-BC201	745	2
GU571442		22-May-2003	Norway: Telemark, Kragero		58.867 N 9.60 E	Lanius collurio	NHMO-BC78	748	2
GU571441		30-May-2003	Norway: Telemark, Jomfruland		58.87 N 9.60 E	Lanius collurio	NHMO-BC298	725	1
GU571440	Pasvik exp.	01-Jan-1966	Norway: Finnmark, Ovre Pasvik		69.33 N 29.32 E	Lagopus muta	NHMO-BC436	678	2
GU571439	Jan T.Lifjeld	04-Jul-2003	Norway: Oppland, Ovre Heimdalen		61.42 N 8.87 E	Lagopus lagopus	NHMO-BC310	723	2
GU571438	Jan T.Lifjeld	24-Jun-2006	Norway: Sor-Trondelag, Havmyran		63.50 N 8.63 E	Lagopus lagopus	NHMO-BC317	725	2
GU571437	Toril Lohne	08-Jun-2003	Norway: Telemark, Prestestranda		59.80 N 9.50 E	Jynx torquilla	NHMO-BC262	742	3
GU571436	Toril Lohne	16-May-2004	Norway: Telemark, Akre i Kjosen		59.15 N 9.00 E	Jynx torquilla	NHMO-BC263	677	2
GU571435	Truls W. Andersen	21-Jul-2004	Norway: Rogaland, Utsira		59.317 N 4.883 E	Hydrobates pelagicus	NHMO-BC33	745	2
GU571434		21-Jul-2004	Norway: Rogaland, Utsira		59.317 N 4.883 E	Hydrobates pelagicus	NHMO-BC32	743	2
GU571433	Jan T. Lifjeld	24-Jun-2005	Norway: Rogaland, Fjermestad		58.77 N 5.75 E	Hirundo rustica	NHMO-BC308	743	2
GU571432	Jan T. Lifjeld	24-Jun-2005	Norway: Rogaland, Fjermestad		58.77 N 5.75 E	Hirundo rustica	NHMO-BC309	725	2
GU571431	Jan T. Lifjeld	16-May-2001	Norway: Oslo, Fornebu		59.88 N 10.60 E	Hippolais icterina	NHMO-BC274	660	2
GU571430	Bjorn A. Bjerke	06-Jun-2005	Norway: Ostfold, Eidsberg		59.52 N 11.25 E	Hippolais icterina	NHMO-BC11	716	2
GU571429	Petter Nysaether	15-Mar-2004	Norway: Troms, Fauske		67.26 N 15.39 E	Haliaeetus albicilla	NHMO-BC144	736	2
GU571428	Rob Barrett	01-Sep-1996	Norway: Troms, Kattfjorden		69.63 N 18.18 E	Haliaeetus albicilla	NHMO-BC143	736	2
GU571427	Lufthavnvakta	01-Apr-2006	Norway: Troms, Langnes Flyplass		69.68 N 18.92 E	Haematopus ostralegus	NHMO-BC382	729	2
