scientific_name	count	max_intra	min_inter
Empidonax hammondii	1		0.07055000215768814
Empidonax minimus	3	0.007205000147223473	0.08742000162601471
Empidonax oberholseri	1		0.07055000215768814
Empidonax occidentalis	2	0.002015999983996153	0.08951999992132187
Eremophila alpestris	3	0.00930199958384037	0.08595000207424164
Erithacus rubecula	4	0.004679999779909849	0.10239999741315842
Estrilda astrild	3	0.010089999996125698	0.08212999999523163
Eudocimus albus	1		0.11729999631643295
Eugenes fulgens	2	0.004600999876856804	0.10580000281333923
Euphagus cyanocephalus	1		0.04324999824166298
Falcipennis canadensis	1		0.04878000169992447
Falco columbarius	4	0.0015429999912157655	0.07212000340223312
Falco femoralis	1		0.0834600031375885
Falco naumanni	1		0.06954000145196915
Falco peregrinus	3	0.0015429999912157655	0.040119998157024384
Falco rusticolus	4	0.0	0.040119998157024384
Falco sparverius	1		0.08320999890565872
Falco subbuteo	4	0.004629999864846468	0.07452999800443649
Falco tinnunculus	4	0.0013909999979659915	0.06954000145196915
Falco vespertinus	1		0.07452999800443649
Ficedula albicollis	2	0.0	0.016979999840259552
Ficedula hypoleuca	4	0.004629999864846468	0.016979999840259552
Ficedula parva	3	0.0	0.07009000331163406
Francolinus erckelii	2	0.0014410000294446945	0.10930000245571136
Francolinus francolinus	2	0.004538999870419502	0.1031000018119812
Francolinus pondicerianus	3	0.0	0.10329999774694443
Fratercula arctica	5	0.006173000205308199	0.015150000341236591
Fratercula corniculata	1		0.015150000341236591
Fregata minor	1		0.11089999973773956
Fringilla coelebs	4	0.004629999864846468	0.07371000200510025
Fringilla montifringilla	4	0.002725000027567148	0.07371000200510025
Fulica alai	2	0.0014410000294446945	0.04035000130534172
Fulica atra	5	0.004861999768763781	0.04035000130534172
Fulmarus glacialis	4	0.003085999982431531	0.09967000037431717
Galerida cristata	4	0.0	0.07692000269889832
Gallinago delicata	3	0.004600999876856804	0.0
Gallinago gallinago	5	0.004335000179708004	0.0
Gallinago media	2	0.0	0.08309999853372574
Gallinula chloropus	5	0.035259999334812164	0.004629999864846468
Gallinula galeata	1		0.004629999864846468
Gallus gallus	4	0.004484000150114298	0.1031000018119812
Garrulus glandarius	4	0.003085999982431531	0.08683999627828598
Gavia adamsii	3	0.0	0.006173000205308199
Gavia arctica	4	0.004629999864846468	0.046509999781847
Gavia immer	2	0.0	0.006173000205308199
Gavia pacifica	1		0.038339998573064804
